Classifier	Deconvolver	Calibrator	Feature Scheme	Labeling Scheme	Prior	R2	MAE	MSE	KL
Dismir	SWN	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	97.06	3.83	2.44	7.54
Dismir	SWN	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	97.17	3.82	2.35	9.82
Dismir	SWN	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	96.56	4.21	2.86	6.43
Dismir	NNLS	None	Diag. + Bckg.	Hard Labels	NA	95.80	4.39	3.48	29.93
Dismir	NNLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	96.61	4.41	2.81	10.96
Dismir	NNLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	97.16	3.93	2.35	10.15
Dismir	NNLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	96.09	4.72	3.25	26.48
Dismir	PSLS	None	Diag. + Bckg.	Hard Labels	NA	95.76	4.40	3.52	26.10
Dismir	PSLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	96.33	4.50	3.04	11.29
Dismir	PSLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	96.86	4.01	2.60	10.50
Dismir	PSLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	95.37	5.27	3.85	12.96
MethylBERT	XGB	None	Diag. + Bckg.	Hard Labels	NA	94.28	5.47	4.75	11.67
MethylBERT	XGB	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	95.24	4.85	3.95	11.45
MethylBERT	XGB	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	95.95	4.30	3.36	13.40
MethylBERT	XGB	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	96.17	4.92	3.18	8.21
MethylBERT	MLP	None	Diag. + Bckg.	Hard Labels	NA	95.95	4.68	3.36	10.64
MethylBERT	MLP	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	96.85	4.47	2.62	12.37
MethylBERT	MLP	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	96.94	4.39	2.54	15.94
MethylBERT	MLP	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	96.79	4.59	2.66	9.50
MethylBERT	SWN	None	Diag. + Bckg.	Hard Labels	NA	97.67	3.71	1.93	6.99
MethylBERT	SWN	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	98.07	3.67	1.60	8.34
MethylBERT	SWN	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	97.88	3.73	1.76	12.35
MethylBERT	SWN	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	97.89	3.85	1.75	6.52
MethylBERT	NNLS	None	Diag. + Bckg.	Hard Labels	NA	97.66	3.94	1.94	10.28
MethylBERT	NNLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	97.84	3.75	1.80	9.67
MethylBERT	NNLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	98.19	3.29	1.51	9.81
MethylBERT	NNLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	97.65	4.02	1.95	8.40
MethylBERT	PSLS	None	Diag. + Bckg.	Hard Labels	NA	97.65	3.98	1.95	9.77
MethylBERT	PSLS	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	97.84	3.78	1.79	9.74
MethylBERT	PSLS	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	98.20	3.32	1.50	9.83
MethylBERT	PSLS	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	97.72	4.03	1.89	8.08
Lookup Classifier	XGB	None	Diag. + Bckg.	Hard Labels	NA	-1.00	44.40	84.16	241.68
Lookup Classifier	XGB	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.34
Lookup Classifier	XGB	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.34
Lookup Classifier	XGB	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	-0.02	44.36	83.34	232.05
Lookup Classifier	MLP	None	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.34	231.37
Lookup Classifier	MLP	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	MLP	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.35
Lookup Classifier	MLP	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.34
Lookup Classifier	SWN	None	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.34	231.36
Lookup Classifier	SWN	Lin. clip+norm	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.34	231.35
Lookup Classifier	SWN	Lin. simplex	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.34	231.35
Lookup Classifier	SWN	Vec. scaling	Diag. + Bckg.	Hard Labels	NA	-0.01	44.36	83.33	231.34
Lookup Classifier	NNLS	None	Diag. + Bckg.	Hard Labels	NA	-57.24	46.23	131.02	1034.52
