	Classifier	Labeling Scheme	Prior	Feature Scheme	Deconvolver	Calibrator	method	method_key	pseudobulk_r2	tcs	tcs_per_sample	rank_pseudobulk	rank_tcs	avg_rank	rank_r2	rank_cosine_sim	rank_mse	rank_mae	rank_kl	rank_max_error	rank_loa_width	rank_worst_class_loa_width
214	dismir	canonical_soft_labels		diagbckg	nnls	linear_clip_normalize	dismir / canonical_soft_labels / diagbckg / nnls / linear_clip_normalize	dismir|canonical_soft_labels||diagbckg|nnls|linear_clip_normalize	0.9761327962979498	0.6557354838222149	0.6414334615384615	201.0	193.0	197.0	201.0	223.0	201.0	179.0	248.0	300.0	201.0	294.0
215	dismir	hard_labels		diagbckg	mlp	linear_simplex_projection	dismir / hard_labels / diagbckg / mlp / linear_simplex_projection	dismir|hard_labels||diagbckg|mlp|linear_simplex_projection	0.971242492662195	0.6685556958268493	0.6591211538461538	245.0	151.0	198.0	245.0	264.0	245.0	254.0	293.0	213.0	245.0	283.0
217	dismir	canonical_soft_labels		top156	nnls	uncalibrated	dismir / canonical_soft_labels / top156 / nnls / uncalibrated	dismir|canonical_soft_labels||top156|nnls|uncalibrated	0.9611461572441738	0.6794555952002354	0.6688769230769231	289.0	107.0	198.0	289.0	303.0	289.0	247.0	342.0	363.0	289.0	356.0
216	methylbert	soft_labels_with_pooling		top156	xgb	linear_clip_normalize	methylbert / soft_labels_with_pooling / top156 / xgb / linear_clip_normalize	methylbert|soft_labels_with_pooling||top156|xgb|linear_clip_normalize	0.9769699674563964	0.646487030093476	0.6428673070072152	190.0	206.0	198.0	190.0	75.0	190.0	101.0	66.0	172.0	190.0	121.0
218	methylbert	hard_labels		top156	nnls	linear_clip_normalize	methylbert / hard_labels / top156 / nnls / linear_clip_normalize	methylbert|hard_labels||top156|nnls|linear_clip_normalize	0.981432312658505	0.5185995964334162	0.5040353846153846	98.0	299.0	198.5	98.0	76.0	98.0	131.0	212.0	43.0	98.0	136.0
219	methylbert	hard_labels		top156	nnls	vector_scaling	methylbert / hard_labels / top156 / nnls / vector_scaling	methylbert|hard_labels||top156|nnls|vector_scaling	0.980768209228968	0.5395534462191175	0.5227842307692308	111.0	288.0	199.5	111.0	195.0	111.0	218.0	190.0	45.0	111.0	37.0
220	methylbert	hard_labels		diagbckg	psls	linear_clip_normalize	methylbert / hard_labels / diagbckg / psls / linear_clip_normalize	methylbert|hard_labels||diagbckg|psls|linear_clip_normalize	0.9828712979025656	0.4251520464182817	0.4051134615384615	77.0	325.0	201.0	77.0	69.0	77.0	124.0	196.0	70.0	77.0	93.0
221	lookup	soft_labels_with_pooling		top156	psls	linear_clip_normalize	lookup / soft_labels_with_pooling / top156 / psls / linear_clip_normalize	lookup|soft_labels_with_pooling||top156|psls|linear_clip_normalize	0.975553226802052	0.6539223611261666	0.6441273076923076	208.0	197.0	202.5	208.0	102.0	208.0	230.0	208.0	160.0	208.0	246.0
222	EpiDISH					vector_scaling	EpiDISH / vector_scaling	epidish|||||vector_scaling	0.9595093966944118	0.6787757635377812	0.6633174160069376	296.0	110.0	203.0	296.0	311.0	296.0	310.0	274.0	101.0	296.0	148.0
224	methylbert	soft_labels_without_pooling		top156	nnls	uncalibrated	methylbert / soft_labels_without_pooling / top156 / nnls / uncalibrated	methylbert|soft_labels_without_pooling||top156|nnls|uncalibrated	0.9755052524237084	0.6533479755811302	0.6430423076923077	210.0	199.0	204.5	210.0	124.0	210.0	234.0	250.0	210.0	210.0	237.0
