JobID|JobIDRaw|JobName|User|Account|Partition|State|Submit|Start|End|Elapsed|ElapsedRaw|Timelimit|NNodes|NodeList|NCPUS|ReqMem|MaxRSS|AllocTRES|ReqTRES|TotalCPU|CPUTimeRAW|ExitCode
59159450_1.batch|59159450.batch|batch||lccbe||COMPLETED|2026-04-27T09:40:36|2026-04-27T09:40:36|2026-04-27T10:41:46|01:01:10|3670||1|r24g38|9||10164.55M|cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1||05:15:55|33030|0:0
59159450_1.extern|59159450.extern|extern||lccbe||COMPLETED|2026-04-27T09:40:36|2026-04-27T09:40:36|2026-04-27T10:41:46|01:01:10|3670||1|r24g38|9|||billing=83,cpu=9,gres/gpu:tesla=1,gres/gpu=1,mem=45000M,node=1||00:00:00|33030|0:0
59160649_0|59160650|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:17:11|2026-04-28T09:17:12|2026-04-28T12:22:03|03:04:51|11091|10:00:00|1|r22g35|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|04:16:26|77637|0:0
59160649_0.batch|59160650.batch|batch||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:22:03|03:04:51|11091||1|r22g35|7||9712.30M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||04:16:26|77637|0:0
59160649_0.extern|59160650.extern|extern||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:22:03|03:04:51|11091||1|r22g35|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|77637|0:0
59160649_1|59160651|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:17:11|2026-04-28T09:17:12|2026-04-28T12:36:01|03:18:49|11929|10:00:00|1|r22g38|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|05:08:52|83503|0:0
59160649_1.batch|59160651.batch|batch||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:36:01|03:18:49|11929||1|r22g38|7||9016.60M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||05:08:52|83503|0:0
59160649_1.extern|59160651.extern|extern||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:36:01|03:18:49|11929||1|r22g38|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|83503|0:0
59160649_2|59160652|lookup_pseudobulk|vsc37069|lccbe|gpu_p100|COMPLETED|2026-04-28T09:17:11|2026-04-28T09:17:12|2026-04-28T12:17:22|03:00:10|10810|10:00:00|1|r22g38|7|32768M||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1|billing=4,cpu=1,gres/gpu=1,mem=32768M,node=1|04:15:52|75670|0:0
59160649_2.batch|59160652.batch|batch||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:17:22|03:00:10|10810||1|r22g38|7||10788.70M|cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||04:15:52|75670|0:0
59160649_2.extern|59160652.extern|extern||lccbe||COMPLETED|2026-04-28T09:17:12|2026-04-28T09:17:12|2026-04-28T12:17:22|03:00:10|10810||1|r22g38|7|||billing=74,cpu=7,gres/gpu:tesla=1,gres/gpu=1,mem=32768M,node=1||00:00:00|75670|0:0
